player,mlb_id,il_days_apr_sep,active_days_apr_sep,pct_injured_apr_sep_%,fb_velo,fb_spin,breaking_%,games_2025,innings_2025
A.J. Puk,640462,338,1139,29.68,95.9,2232.0,33.8,8,8.0
Andrew Hoffmann,694851,26,124,20.97,94.6,2286.0,14.1,11,12.0
Andrew Saalfrank,685314,0,392,0.0,90.4,2207.0,39.6,28,29.0
Blake Walston,686796,250,336,74.4,90.0,2096.0,27.7,0,0.0
Brandon Pfaadt,694297,0,517,0.0,93.3,2498.0,30.5,33,176.2
Brandyn Garcia,805299,0,72,0.0,96.3,2230.0,36.1,14,14.1
Corbin Burnes,669203,137,1364,10.04,95.1,2670.0,28.1,11,64.1
Cristian Mena,691441,246,273,90.11,95.2,2394.0,40.9,3,6.2
Drey Jameson,686753,220,565,38.94,96.0,2186.0,28.1,3,3.0
Eduardo Rodriguez,593958,652,1956,33.33,92.1,2196.0,8.0,29,154.1
Grant Holman,680880,104,228,45.61,94.5,1951.0,12.6,22,23.0
Juan Burgos,686228,27,92,29.35,93.6,2404.0,28.0,13,13.1
Juan Morillo,666661,0,165,0.0,98.9,2231.0,21.4,42,34.1
Justin Martinez,679885,135,452,29.87,100.2,2143.0,18.6,17,15.1
Kade Strowd,669704,0,136,0.0,93.6,2441.0,24.2,25,26.1
Kevin Ginkel,656464,183,1155,15.84,95.3,2375.0,39.7,29,25.2
Merrill Kelly,518876,210,1281,16.39,91.7,2344.0,17.4,32,184.0
Michael Soroka,647336,1002,1434,69.87,92.9,2347.0,27.8,22,89.2
Paul Sewald,623149,191,1640,11.65,91.6,2426.0,35.6,22,19.2
Philip Abner,691769,0,12,0.0,90.8,2358.0,23.2,5,3.2
Ryan Thompson,657044,530,984,53.86,90.7,2029.0,32.8,48,41.1
Ryne Nelson,669194,38,575,6.61,94.0,2235.0,20.2,33,154.0
Taylor Clarke,664199,219,1262,17.35,94.5,2278.0,37.0,51,55.1
Yilber Díaz,700270,8,268,2.99,95.8,2238.0,38.6,1,3.0
Zac Gallen,668678,79,1201,6.58,92.8,2338.0,26.3,33,192.0
