player,mlb_id,il_days_apr_sep,active_days_apr_sep,pct_injured_apr_sep_%,fb_velo,fb_spin,breaking_%,games_2025,innings_2025
Aaron Civale,650644,261,1199,21.77,89.9,2445.0,28.7,23,102.0
Brady Basso,669620,135,306,44.12,91.5,2288.0,16.6,11,11.2
Eduarniel Núñez,674384,0,91,0.0,97.4,2608.0,33.6,10,12.2
Elvis Alvarado,665660,0,145,0.0,98.2,2423.0,28.3,37,42.1
Gunnar Hoglund,680684,121,152,79.61,93.6,2414.0,21.7,6,32.1
Hogan Harris,663687,0,536,0.0,92.7,2269.0,21.8,48,64.2
J.T. Ginn,669372,50,224,22.32,93.1,1942.0,24.0,23,90.1
Jack Perkins,678022,38,101,37.62,95.3,2288.0,29.5,12,38.2
Jacob Lopez,682052,58,414,14.01,89.9,2125.0,29.5,21,92.2
Jeffrey Springs,605488,531,1343,39.54,91.1,2203.0,22.2,32,171.0
Joey Estes,683155,73,377,19.36,92.1,2362.0,31.7,3,11.0
Justin Sterner,686993,39,306,12.75,91.2,2487.0,13.8,59,65.0
Luis Medina,665622,339,524,64.69,96.0,2350.0,33.0,0,0.0
Luis Morales,806960,0,61,0.0,97.3,2501.0,32.2,10,48.2
Luis Severino,622663,601,1887,31.85,96.2,2273.0,28.1,29,162.2
Mark Leiter Jr.,643410,366,1620,22.59,91.0,1989.0,17.2,59,48.1
Mason Barnett,686930,0,32,0.0,94.3,2224.0,30.8,5,22.1
Michael Kelly,547184,32,656,4.88,95.0,2344.0,57.5,42,39.2
Scott Barlow,605130,0,1435,0.0,93.2,2331.0,61.6,75,68.1
Tyler Ferguson,621053,0,330,0.0,94.1,2286.0,24.5,56,58.0
