player,mlb_id,il_days_apr_sep,active_days_apr_sep,pct_injured_apr_sep_%,fb_velo,fb_spin,breaking_%,games_2025,innings_2025
AJ Smith-Shawver,700363,182,485,37.53,95.3,2150.0,21.4,9,44.1
Aaron Bummer,607481,206,1530,13.46,93.4,2082.0,29.2,42,54.1
Bryce Elder,693821,0,721,0.0,90.7,2057.0,32.1,28,156.1
Chris Sale,519242,621,2801,22.17,94.3,2276.0,31.8,21,125.2
Danny Young,664849,253,694,36.46,91.1,2349.0,48.0,10,8.1
Daysbel Hernández,678226,105,436,24.08,97.4,2339.0,48.1,39,37.0
Didier Fuentes,800311,52,103,50.49,96.2,2169.0,36.7,4,13.0
Dylan Dodd,689266,39,546,7.14,90.6,2134.0,16.7,28,35.0
Dylan Lee,669276,119,732,16.26,92.6,2279.0,47.0,74,68.1
Grant Holmes,656550,66,290,22.76,93.8,2363.0,46.8,22,115.0
Hayden Harris,802686,0,29,0.0,91.4,2134.0,19.5,3,2.2
Hunter Stratton,676702,106,392,27.04,93.9,2599.0,23.9,15,19.0
Hurston Waldrep,694462,106,297,35.69,94.7,2224.0,23.5,10,56.1
Joe Jiménez,641729,205,1635,12.54,95.1,2480.0,29.9,0,0.0
Joel Payamps,606303,31,1139,2.72,94.7,2384.0,36.1,30,26.1
Joey Wentz,666214,87,692,12.57,91.0,2314.0,22.7,39,98.0
José Suarez,660761,512,1219,42.0,92.4,2229.0,24.8,7,19.1
Raisel Iglesias,628452,128,2002,6.39,94.7,2346.0,24.5,70,67.1
Reynaldo López,625643,313,1721,18.19,95.8,2133.0,28.4,1,5.0
Robert Suarez,663158,170,726,23.42,98.2,2369.0,1.7,70,69.2
Rolddy Muñoz,691548,0,29,0.0,96.8,2196.0,35.4,3,3.2
Spencer Schwellenbach,680885,91,308,29.55,95.5,2278.0,30.5,17,110.2
Spencer Strider,675911,227,732,31.01,97.1,2340.0,33.6,23,125.1
Tyler Kinley,641755,256,1458,17.56,95.6,2333.0,57.3,73,72.2
