player,mlb_id,il_days_apr_sep,active_days_apr_sep,pct_injured_apr_sep_%,fb_velo,fb_spin,breaking_%,games_2025,innings_2025
Andrew Kittredge,552640,546,1539,35.48,94.6,2336.0,43.6,54,53.0
Brandon Young,687064,85,165,51.52,92.5,2181.0,22.9,12,57.2
Cade Povich,700249,49,300,16.33,91.9,2320.0,30.8,22,112.1
Chayce McDermott,694646,85,252,33.73,93.4,2212.0,29.9,4,8.2
Chris Bassitt,605135,1078,2045,52.71,91.6,2153.0,23.0,32,170.1
Colin Selby,681882,70,419,16.71,96.0,2216.0,45.9,11,14.0
Dean Kremer,665152,95,940,10.11,91.4,2302.0,12.4,31,171.2
Dietrich Enns,608650,7,1516,0.46,91.1,2147.0,4.5,24,46.1
Félix Bautista,642585,288,723,39.83,98.8,2382.0,8.4,35,34.2
Grant Wolfram,664991,0,158,0.0,95.7,2273.0,40.6,21,26.2
Jackson Kowar,663804,243,848,28.66,96.3,2160.0,19.1,15,17.0
Jose Espada,664744,0,373,0.0,92.8,2185.0,26.4,1,3.0
Keegan Akin,669211,137,963,14.23,93.0,2347.0,25.8,64,63.1
Kyle Bradish,680694,335,704,47.59,94.7,2274.0,45.2,6,32.0
Rico Garcia,670329,273,1133,24.1,94.7,2389.0,23.9,29,34.1
Ryan Helsley,664854,388,1266,30.65,98.5,2565.0,43.8,58,56.0
Shane Baz,669358,382,743,51.41,95.5,2423.0,34.3,31,166.1
Trevor Rogers,669432,396,952,41.6,93.4,2396.0,17.6,18,109.2
Tyler Wells,669330,397,912,43.53,91.7,2453.0,17.0,4,21.2
Yaramil Hiraldo,682274,0,127,0.0,94.9,2336.0,25.4,18,19.2
Yennier Cano,666974,0,692,0.0,95.7,2121.0,16.6,65,58.0
Zach Eflin,621107,650,1756,37.02,92.2,2144.0,29.5,14,71.1
