player,mlb_id,il_days_apr_sep,active_days_apr_sep,pct_injured_apr_sep_%,fb_velo,fb_spin,breaking_%,games_2025,innings_2025
Aroldis Chapman,547973,247,2776,8.9,99.3,2451.0,21.9,67,61.1
Brayan Bello,678394,113,636,17.77,94.8,2109.0,21.3,29,166.2
Connelly Early,813349,0,22,0.0,94.0,2262.0,38.6,4,19.1
Danny Coulombe,543056,322,2028,15.88,89.0,2416.0,45.0,55,43.0
Garrett Crochet,676979,325,928,35.02,95.1,2484.0,15.4,32,205.1
Garrett Whitlock,676477,302,912,33.11,95.0,2115.0,21.8,62,72.0
Greg Weissert,669711,0,586,0.0,94.0,2205.0,30.1,72,67.0
Johan Oviedo,670912,322,958,33.61,95.6,2280.0,47.8,9,40.1
Jovani Morán,663558,298,751,39.68,92.9,2248.0,5.5,2,4.0
Justin Slaten,686580,133,366,36.34,94.0,2453.0,30.7,36,34.0
Kutter Crawford,676710,224,758,29.55,91.0,2469.0,23.6,0,0.0
Patrick Sandoval,663776,333,1155,28.83,93.2,1985.0,33.6,0,0.0
Payton Tolle,801139,0,33,0.0,95.3,2332.0,15.4,7,16.1
Ranger Suarez,624133,235,1348,17.43,91.4,1957.0,16.8,26,157.1
Sonny Gray,543243,232,2279,10.18,92.4,2424.0,36.1,32,180.2
Tanner Houck,656557,258,931,27.71,93.7,2162.0,35.2,9,43.2
Zack Kelly,677161,164,582,28.18,94.1,2264.0,21.4,28,35.1
