player,mlb_id,il_days_apr_sep,active_days_apr_sep,pct_injured_apr_sep_%,fb_velo,fb_spin,breaking_%,games_2025,innings_2025
Ben Brown,676962,67,366,18.31,96.1,2212.0,34.9,25,106.1
Cade Horton,690990,2,144,1.39,95.7,2469.0,30.7,23,118.0
Caleb Thielbar,573204,125,2330,5.36,92.3,2304.0,48.3,67,58.0
Colin Rea,607067,384,1881,20.41,91.6,2142.0,20.8,32,159.1
Daniel Palencia,694037,65,455,14.29,99.0,2326.0,24.2,54,52.2
Edward Cabrera,665795,204,769,26.53,96.4,2279.0,34.2,26,137.2
Ethan Roberts,681799,423,724,58.43,91.7,2601.0,45.8,10,9.0
Gavin Hollowell,668970,120,554,21.66,93.7,2538.0,32.5,7,9.1
Hoby Milner,571948,209,1563,13.37,88.5,1981.0,30.2,73,70.1
Hunter Harvey,640451,517,1143,45.23,97.9,2059.0,15.5,12,10.2
Jacob Webb,657097,67,1266,5.29,94.1,2455.0,21.2,55,66.0
Jameson Taillon,592791,538,1762,30.53,93.1,2340.0,30.8,23,129.2
Javier Assad,665871,149,588,25.34,90.9,2002.0,19.1,8,37.0
Jordan Wicks,696136,153,399,38.35,92.2,2272.0,13.4,8,14.1
Justin Steele,657006,301,904,33.3,91.9,2434.0,31.4,4,22.2
Luke Little,681432,80,391,20.46,95.8,2243.0,27.2,2,2.2
Matthew Boyd,571510,344,1926,17.86,91.8,2337.0,31.0,31,179.2
Phil Maton,664208,72,1576,4.57,90.4,2522.0,42.0,63,61.1
Porter Hodge,687863,56,315,17.78,95.8,2385.0,37.9,36,33.0
Ryan Rolison,669020,0,141,0.0,92.7,2312.0,40.5,31,42.1
Shelby Miller,571946,708,2405,29.44,93.2,2288.0,13.8,48,46.0
Shota Imanaga,684007,52,366,14.21,91.2,2440.0,14.2,25,144.2
