player,mlb_id,il_days_apr_sep,active_days_apr_sep,pct_injured_apr_sep_%,fb_velo,fb_spin,breaking_%,games_2025,innings_2025
Andrew Abbott,671096,50,484,10.33,92.6,2257.0,30.5,29,166.1
Brady Singer,663903,39,983,3.97,92.5,2302.0,39.3,32,169.2
Brandon Williamson,682227,360,504,71.43,91.2,2250.0,14.3,0,0.0
Brock Burke,656271,530,1140,46.49,94.7,2234.0,21.1,69,61.2
Caleb Ferguson,657571,444,1398,31.76,93.1,2360.0,17.6,70,65.1
Chase Burns,695505,27,99,27.27,98.5,2572.0,35.2,13,43.1
Chase Petty,695534,0,154,0.0,96.0,2237.0,36.4,3,6.0
Connor Phillips,683175,38,392,9.69,97.1,2479.0,39.4,21,25.0
Emilio Pagán,641941,91,1615,5.63,92.2,2469.0,1.7,70,68.2
Graham Ashcraft,668933,191,681,28.05,96.3,2414.0,32.8,62,65.1
Hunter Greene,668881,246,723,34.02,98.5,2380.0,36.6,19,107.2
Julian Aguiar,687924,190,226,84.07,94.0,2086.0,26.7,0,0.0
Kyle Nicolas,693312,13,378,3.44,97.2,2367.0,44.1,31,38.0
Luis Mey,682825,0,153,0.0,98.6,2259.0,23.2,23,21.0
Nick Lodolo,666157,283,720,39.31,93.9,2315.0,27.8,29,156.2
Pierce Johnson,572955,165,1599,10.32,94.5,2327.0,56.9,65,59.0
Rhett Lowder,695076,183,215,85.12,93.1,2271.0,24.7,0,0.0
Sam Moll,594580,99,1494,6.63,92.9,2456.0,35.7,23,18.1
Tony Santillan,663574,202,842,23.99,96.0,2278.0,37.1,80,73.2
Zach Maxwell,687209,0,39,0.0,97.4,2491.0,15.9,8,10.0
