player,mlb_id,il_days_apr_sep,active_days_apr_sep,pct_injured_apr_sep_%,fb_velo,fb_spin,breaking_%,games_2025,innings_2025
Andrew Walters,689958,142,202,70.3,96.3,2580.0,31.0,2,1.1
Cade Smith,671922,0,366,0.0,96.1,2295.0,8.9,76,73.2
Codi Heuer,676051,366,984,37.2,96.3,2375.0,24.8,3,4.2
Colin Holderman,670059,178,688,25.87,95.5,2290.0,35.1,24,25.2
Connor Brogdon,641401,218,964,22.61,92.6,2307.0,0.0,43,47.0
Doug Nikhazy,680951,38,158,24.05,90.7,2002.0,49.3,2,4.0
Erik Sabrowski,681870,87,210,41.43,93.6,2611.0,35.4,33,29.1
Gavin Williams,668909,90,468,19.23,95.5,2273.0,38.1,31,167.2
Hunter Gaddis,683769,0,606,0.0,94.5,2280.0,41.9,73,66.2
Joey Cantillo,676282,0,248,0.0,91.9,1854.0,24.7,34,95.1
Logan Allen,671106,8,527,1.52,89.9,2157.0,21.7,30,156.2
Matt Festa,670036,347,1360,25.51,91.9,2397.0,42.8,63,54.2
Parker Messick,800048,0,42,0.0,92.6,2100.0,26.5,7,39.2
Peyton Pallette,688883,0,0,0.0,95.9,2233.0,32.8,0,0.0
Shawn Armstrong,542888,108,1884,5.73,92.8,2404.0,12.5,71,74.0
Slade Cecconi,677944,46,426,10.8,94.0,2359.0,32.7,23,132.0
Tanner Bibee,676440,13,524,2.48,91.5,2455.0,14.1,31,182.1
Tim Herrin,682120,0,548,0.0,94.9,2352.0,53.0,54,42.2
