player,mlb_id,il_days_apr_sep,active_days_apr_sep,pct_injured_apr_sep_%,fb_velo,fb_spin,breaking_%,games_2025,innings_2025
Antonio Senzatela,622608,838,1642,51.04,94.3,2138.0,30.4,30,130.0
Brennan Bernardino,657514,44,611,7.2,90.4,2168.0,34.4,55,51.2
Carson Palmquist,687223,0,138,0.0,88.8,2124.0,28.6,9,34.1
Chase Dollander,801403,28,178,15.73,96.3,2455.0,20.1,21,98.0
Jaden Hill,677955,141,207,68.12,97.1,2321.0,21.4,28,29.1
Jeff Criswell,676105,183,224,81.7,95.1,2282.0,36.1,0,0.0
Jimmy Herget,623474,88,1184,7.43,91.7,2334.0,52.3,59,83.1
Jose Quintana,500779,208,2526,8.23,91.5,2048.0,25.9,24,131.2
Juan Mejia,675848,0,160,0.0,96.5,2567.0,31.1,55,61.1
Keegan Thompson,624522,308,884,34.84,92.2,2456.0,22.1,0,0.0
Kyle Freeland,607536,318,1641,19.38,89.5,2306.0,15.0,31,162.2
Luis Peralta,678821,13,221,5.88,94.5,2218.0,23.7,22,19.0
McCade Brown,685326,0,38,0.0,94.3,2322.0,37.3,7,25.2
Michael Lorenzen,547179,389,1985,19.6,94.1,2370.0,25.1,27,141.2
Pierson Ohl,701487,0,64,0.0,90.5,2259.0,5.8,14,30.0
Ryan Feltner,663372,379,758,50.0,94.4,2327.0,36.3,6,30.1
Seth Halvorsen,678020,57,215,26.51,99.8,2246.0,21.2,42,39.2
Tanner Gordon,685299,39,269,14.5,92.3,2232.0,26.5,15,75.1
Tomoyuki Sugano,608372,0,183,0.0,91.6,2373.0,27.0,30,157.0
Victor Vodnik,680767,55,388,14.18,97.9,2276.0,15.9,52,50.2
Zach Agnos,688642,59,164,35.98,94.0,2330.0,17.2,30,31.1
