player,mlb_id,il_days_apr_sep,active_days_apr_sep,pct_injured_apr_sep_%,fb_velo,fb_spin,breaking_%,games_2025,innings_2025
Bailey Horn,690544,27,277,9.75,93.4,2417.0,40.4,10,11.1
Beau Brieske,689225,249,710,35.07,95.5,2446.0,18.6,22,22.0
Brant Hurter,676428,13,241,5.39,92.3,2125.0,30.0,43,63.0
Brenan Hanifee,669724,0,376,0.0,95.0,2034.0,20.6,54,60.0
Casey Mize,663554,424,958,44.26,94.3,2193.0,30.2,28,149.0
Connor Seabold,657756,99,752,13.16,92.3,2121.0,25.3,7,10.1
Drew Anderson,623454,337,1525,22.1,93.2,2241.0,25.6,0,0.0
Drew Sommers,805427,0,40,0.0,93.6,1988.0,31.9,4,3.0
Enmanuel De Jesus,646241,0,388,0.0,92.6,2274.0,16.5,0,0.0
Framber Valdez,664285,77,1322,5.82,93.8,2194.0,34.2,31,192.0
Jack Flaherty,656427,245,1494,16.4,93.1,2219.0,42.8,31,161.0
Jackson Jobe,695549,124,189,65.61,96.2,2395.0,36.2,10,49.0
Justin Verlander,434378,622,3749,16.59,94.5,2517.0,38.5,29,152.0
Keider Montero,672456,0,308,0.0,94.3,2199.0,36.9,20,90.2
Kenley Jansen,445276,444,2814,15.78,92.9,2557.0,9.7,62,59.0
Kyle Finnegan,640448,28,983,2.85,96.5,2077.0,10.0,56,57.0
Reese Olson,681857,169,487,34.7,94.5,2202.0,32.4,13,68.2
Sawyer Gipson-Long,687830,308,385,80.0,91.9,2237.0,25.8,8,31.1
Tarik Skubal,669373,153,959,15.95,95.9,2211.0,23.7,31,195.1
Troy Melton,675512,0,70,0.0,96.1,2240.0,25.7,16,45.2
Ty Madden,680744,183,219,83.56,92.5,2314.0,21.2,0,0.0
Tyler Holton,663947,0,705,0.0,90.1,2253.0,18.5,70,78.2
Will Vest,676684,24,915,2.62,95.5,2128.0,26.0,64,68.2
