player,mlb_id,il_days_apr_sep,active_days_apr_sep,pct_injured_apr_sep_%,fb_velo,fb_spin,breaking_%,games_2025,innings_2025
AJ Blubaugh,805123,0,154,0.0,93.9,2333.0,23.4,11,32.0
Bennett Sousa,656986,301,725,41.52,94.6,2162.0,47.6,44,50.2
Brandon Walter,687888,250,467,53.53,89.8,2203.0,20.7,9,53.2
Bryan Abreu,650556,75,1160,6.47,96.9,2323.0,51.2,70,71.0
Bryan King,687911,0,283,0.0,91.9,2133.0,30.9,68,68.0
Christian Roa,685005,0,25,0.0,95.8,2104.0,20.2,2,3.0
Colton Gordon,676467,0,140,0.0,91.1,2055.0,39.5,20,86.0
Cristian Javier,664299,279,983,28.38,93.2,2320.0,34.4,8,37.0
Enyel De Los Santos,660853,0,1364,0.0,95.3,2229.0,29.4,65,66.0
Hayden Wesneski,669713,207,574,36.06,92.8,2182.0,32.6,6,32.0
Hunter Brown,686613,0,575,0.0,95.2,2237.0,21.4,31,185.1
Jason Alexander,669920,106,671,15.8,91.6,2086.0,18.2,18,77.1
Jayden Murray,681151,0,27,0.0,95.2,2379.0,27.0,9,11.2
Josh Hader,623352,63,1577,3.99,95.6,2121.0,23.0,48,52.2
Kai-Wei Teng,678906,21,366,5.74,93.1,2427.0,48.6,8,29.2
Lance McCullers Jr.,621121,1001,1966,50.92,94.0,2254.0,45.3,16,55.1
Mike Burrows,681347,0,186,0.0,95.3,2274.0,30.1,23,96.0
Nate Pearson,663878,244,955,25.55,97.5,2265.0,40.9,11,14.2
Roddery Muñoz,682610,0,347,0.0,93.6,2297.0,21.6,9,11.0
Ronel Blanco,669854,132,725,18.21,93.7,2241.0,41.5,9,48.1
Ryan Weiss,680802,0,0,0.0,94.6,2449.0,25.3,0,0.0
Spencer Arrighetti,681293,146,357,40.9,92.0,2360.0,29.2,7,35.1
Steven Okert,595345,522,1812,28.81,92.4,2276.0,51.4,68,71.2
