player,mlb_id,il_days_apr_sep,active_days_apr_sep,pct_injured_apr_sep_%,fb_velo,fb_spin,breaking_%,games_2025,innings_2025
Alec Marsh,679525,198,459,43.14,94.1,2461.0,37.6,0,0.0
Alex Lange,656638,343,906,37.86,96.1,2249.0,50.3,1,1.0
Bailey Falter,663559,96,891,10.77,91.6,1996.0,34.3,26,125.1
Carlos Estévez,608032,337,1808,18.64,97.1,2216.0,22.1,67,66.0
Cole Ragans,666142,129,607,21.25,94.4,2518.0,21.1,13,61.2
Daniel Lynch IV,663738,191,883,21.63,93.6,2135.0,31.5,57,67.2
James McArthur,663704,166,461,36.01,94.7,2296.0,53.1,0,0.0
John Schreiber,670167,91,1151,7.91,92.4,2220.0,30.3,74,64.0
Kris Bubic,663460,464,977,47.49,91.7,2195.0,23.9,20,116.1
Lucas Erceg,668674,34,501,6.79,97.8,2024.0,22.1,61,61.1
Luinder Avila,679883,0,49,0.0,96.1,2396.0,37.4,13,14.0
Mason Black,696131,0,331,0.0,92.6,2109.0,30.2,1,4.0
Matt Strahm,621381,336,1709,19.66,91.7,2414.0,19.0,66,62.1
Michael Wacha,608379,374,2320,16.12,92.6,2096.0,11.5,31,172.2
Mitch Spence,687765,0,366,0.0,91.3,2468.0,41.7,32,84.2
Nick Mears,683232,466,969,48.09,96.0,2268.0,38.3,63,56.2
Noah Cameron,702070,0,154,0.0,90.6,2352.0,32.3,24,138.1
Ryan Bergert,686701,27,158,17.09,93.4,2393.0,40.7,19,76.1
Seth Lugo,607625,178,1739,10.24,92.7,2311.0,37.4,26,145.1
Stephen Kolek,663568,62,366,16.94,93.6,2219.0,21.7,19,112.2
Steven Cruz,674444,47,399,11.78,96.5,2207.0,22.1,47,45.2
