player,mlb_id,il_days_apr_sep,active_days_apr_sep,pct_injured_apr_sep_%,fb_velo,fb_spin,breaking_%,games_2025,innings_2025
Alek Manoah,666201,359,851,42.19,93.3,2288.0,27.7,0,0.0
Ben Joyce,690829,239,491,48.68,99.7,2118.0,11.4,5,4.1
Brent Suter,608718,325,1690,19.23,86.6,2161.0,12.8,48,67.2
Caden Dana,702674,0,213,0.0,94.3,2178.0,29.4,7,32.1
Chase Silseth,681217,236,690,34.2,94.4,2369.0,23.5,10,11.0
Drew Pomeranz,519141,1161,2582,44.97,91.4,2420.0,32.6,57,49.2
Grayson Rodriguez,680570,256,545,46.97,96.4,2269.0,26.1,0,0.0
Jack Kochanowicz,686799,0,265,0.0,95.7,2134.0,18.9,23,111.0
Joey Lucchesi,664192,385,1464,26.3,90.5,2217.0,31.0,38,38.1
Jordan Romano,605447,261,1209,21.59,96.6,2323.0,47.5,49,42.2
José Fermin,820862,19,158,12.03,96.7,2295.0,45.3,40,34.1
José Soriano,667755,68,486,13.99,97.6,1974.0,32.3,31,169.0
Kirby Yates,489446,434,2129,20.39,93.5,2329.0,9.8,50,41.1
Mitch Farris,815083,0,29,0.0,90.8,2153.0,21.4,5,24.1
Reid Detmers,672282,49,793,6.18,94.0,2112.0,43.6,61,63.2
Robert Stephenson,596112,659,1824,36.13,94.1,2454.0,35.7,12,10.0
Ryan Johnson,696270,0,183,0.0,92.3,2368.0,18.1,14,14.2
Ryan Zeferjahn,666171,17,220,7.73,94.4,2248.0,37.6,62,57.0
Sam Aldegheri,691951,16,215,7.44,91.8,2319.0,25.2,4,13.2
Sam Bachman,696147,201,494,40.69,97.1,2270.0,54.6,23,20.1
Victor Mederos,682989,38,459,8.28,95.5,2341.0,33.8,5,17.0
Walbert Urena,700712,0,0,0.0,98.6,2196.0,17.8,0,0.0
Yusei Kikuchi,579328,22,1281,1.72,94.1,2239.0,38.1,33,178.1
