player,mlb_id,il_days_apr_sep,active_days_apr_sep,pct_injured_apr_sep_%,fb_velo,fb_spin,breaking_%,games_2025,innings_2025
Alex Vesia,681911,71,971,7.31,93.5,2385.0,28.5,68,59.2
Ben Casparius,676508,0,212,0.0,94.5,2538.0,43.8,46,77.2
Blake Snell,605483,341,1808,18.86,95.3,2421.0,31.3,11,61.1
Blake Treinen,595014,479,2185,21.92,96.1,2368.0,28.0,32,26.2
Bobby Miller,676272,76,497,15.29,98.4,2308.0,31.9,2,5.0
Brock Stewart,592779,245,1116,21.95,94.3,2482.0,17.1,43,37.2
Brusdar Graterol,660813,461,1128,40.87,98.5,2083.0,24.7,0,0.0
Edgardo Henriquez,683618,89,190,46.84,98.6,2472.0,21.6,22,19.0
Edwin Díaz,621242,198,1764,11.22,97.7,2327.0,39.1,62,66.1
Emmet Sheehan,686218,261,473,55.18,95.5,2373.0,30.3,15,73.1
Evan Phillips,623465,228,1371,16.63,94.7,2312.0,36.6,7,5.2
Gavin Stone,694813,208,517,40.23,94.4,2190.0,17.2,0,0.0
Jack Dreyer,676263,0,183,0.0,92.8,2403.0,52.5,67,76.1
Jake Cousins,664776,425,834,50.96,95.2,2277.0,53.8,0,0.0
Justin Wrobleski,680736,0,269,0.0,94.9,2349.0,32.8,24,66.2
Kyle Hurt,669165,332,385,86.23,95.8,2010.0,3.8,0,0.0
Landon Knack,689017,0,350,0.0,93.4,2425.0,31.7,10,42.1
Paul Gervase,801434,0,102,0.0,93.0,2234.0,27.1,6,8.1
River Ryan,689981,234,254,92.13,95.9,2393.0,39.0,0,0.0
Roki Sasaki,808963,161,183,87.98,96.4,2068.0,11.2,10,36.1
Tanner Scott,656945,58,1475,3.93,96.7,2539.0,46.4,61,57.0
Tyler Glasnow,607192,597,1733,34.45,96.3,2412.0,38.4,18,90.1
Will Klein,694361,25,339,7.37,96.7,2194.0,32.8,14,15.1
Yoshinobu Yamamoto,808967,59,366,16.12,94.7,2241.0,22.2,30,173.2
