player,mlb_id,il_days_apr_sep,active_days_apr_sep,pct_injured_apr_sep_%,fb_velo,fb_spin,breaking_%,games_2025,innings_2025
Adam Mazur,800049,0,302,0.0,94.5,2199.0,46.3,6,30.0
Andrew Nardi,677053,249,595,41.85,94.2,2286.0,36.9,0,0.0
Anthony Bender,669622,367,881,41.66,96.4,2269.0,48.3,51,50.0
Bradley Blalock,687134,8,286,2.8,93.7,2103.0,29.7,14,58.2
Braxton Garrett,666129,370,933,39.66,90.1,2188.0,36.2,0,0.0
Cade Gibson,806188,0,164,0.0,91.7,2268.0,52.9,44,54.2
Calvin Faucher,676534,106,694,15.27,93.6,2566.0,35.5,65,60.1
Chris Paddack,663978,463,1281,36.14,93.4,2202.0,14.8,33,158.0
Eury Pérez,691587,260,508,51.18,97.7,2651.0,40.9,20,95.1
Garrett Acton,670183,109,142,76.76,94.9,2447.0,18.3,1,1.0
Janson Junk,676083,12,758,1.58,93.4,2308.0,49.6,21,110.0
John King,667463,125,942,13.27,92.7,2128.0,14.6,51,48.1
Lake Bachar,669199,0,206,0.0,94.6,2704.0,46.7,53,71.0
Max Meyer,676974,396,626,63.26,94.5,2447.0,43.9,12,64.2
Michael Petersen,656848,0,288,0.0,93.8,2265.0,0.1,15,18.0
Pete Fairbanks,664126,247,1212,20.38,97.5,2417.0,41.8,61,60.1
Ronny Henriquez,678692,54,561,9.63,96.0,2473.0,46.2,69,73.0
Ryan Gusto,687473,29,183,15.85,93.1,2393.0,25.0,27,101.2
Sandy Alcantara,645261,234,1492,15.68,94.7,2327.0,5.6,31,174.2
Tyler Phillips,663969,2,269,0.74,94.5,2129.0,42.5,54,77.2
