player,mlb_id,il_days_apr_sep,active_days_apr_sep,pct_injured_apr_sep_%,fb_velo,fb_spin,breaking_%,games_2025,innings_2025
Aaron Ashby,676879,316,825,38.3,96.4,2108.0,36.9,43,66.2
Abner Uribe,682842,118,451,26.16,98.9,2276.0,37.0,75,75.1
Angel Zerpa,672582,240,733,32.74,95.8,2059.0,26.3,69,64.2
Brandon Sproat,687075,0,24,0.0,96.0,1998.0,33.5,4,20.2
Brandon Woodruff,605540,493,1522,32.39,95.7,2296.0,20.3,12,64.2
Carlos Rodriguez,692230,53,295,17.97,91.7,2185.0,22.0,4,9.2
Chad Patrick,694477,0,183,0.0,91.2,2338.0,7.6,27,119.2
Craig Yoho,684974,0,163,0.0,92.3,2377.0,5.5,8,8.2
DL Hall,669084,210,598,35.12,94.3,2197.0,27.5,20,38.2
Easton McGee,668834,265,549,48.27,91.5,2365.0,25.4,9,14.2
Grant Anderson,681982,43,490,8.78,92.8,2312.0,37.7,66,69.2
Jacob Misiorowski,694819,12,111,10.81,99.3,2589.0,38.3,15,66.0
Jared Koenig,657649,22,664,3.31,93.4,2335.0,18.9,72,66.0
Kyle Harrison,690986,45,406,11.08,93.0,2227.0,22.3,11,35.2
Logan Henderson,701656,54,164,32.93,92.2,2332.0,4.3,5,25.1
Quinn Priester,682990,33,442,7.47,93.3,2161.0,36.8,29,157.1
Rob Zastryzny,642239,294,1690,17.4,89.3,2395.0,16.5,26,22.0
Robert Gasser,688107,269,327,82.26,92.4,2173.0,24.1,2,5.2
Sammy Peralta,671111,137,516,26.55,89.2,2155.0,31.9,5,10.2
Trevor Megill,656730,128,890,14.38,98.4,2464.0,33.3,50,47.0
