player,mlb_id,il_days_apr_sep,active_days_apr_sep,pct_injured_apr_sep_%,fb_velo,fb_spin,breaking_%,games_2025,innings_2025
Anthony Banda,607455,388,1535,25.28,94.7,2137.0,23.6,71,65.0
Bailey Ober,641927,157,868,18.09,91.4,2277.0,30.2,27,146.1
Cole Sands,663485,57,702,8.12,92.6,2333.0,17.5,69,72.0
David Festa,701581,68,279,24.37,94.4,2365.0,27.0,11,53.1
Eric Orze,679358,0,268,0.0,93.9,2233.0,23.2,33,41.2
Joe Ryan,657746,96,762,12.6,92.8,2224.0,22.9,31,171.0
Justin Topa,623437,484,945,51.22,94.0,2176.0,27.9,54,60.0
Kody Funderburk,681892,68,400,17.0,92.4,2298.0,29.8,39,41.0
Mick Abel,690953,0,136,0.0,96.1,2506.0,33.6,10,39.0
Pablo López,641154,289,1374,21.03,93.8,2148.0,21.3,14,75.2
Simeon Woods Richardson,680573,23,549,4.19,92.9,2207.0,38.0,23,111.1
Taj Bradley,671737,37,538,6.88,94.1,2282.0,12.8,27,142.2
Taylor Rogers,573124,66,1817,3.63,93.6,2093.0,45.4,57,50.2
Travis Adams,701519,0,88,0.0,93.4,2408.0,21.9,18,33.2
Zak Kent,687849,3,161,1.86,92.5,2715.0,52.6,12,17.2
Zebby Matthews,805673,41,232,17.67,94.7,2331.0,31.1,16,79.1
