player,mlb_id,il_days_apr_sep,active_days_apr_sep,pct_injured_apr_sep_%,fb_velo,fb_spin,breaking_%,games_2025,innings_2025
A.J. Minter,621345,1118,1503,74.38,93.2,2461.0,0.0,13,11.0
Alex Carrillo,692024,7,85,8.24,97.8,2441.0,34.3,3,4.2
Austin Warren,681810,363,796,45.6,93.2,2288.0,36.3,5,9.1
Brooks Raley,548384,303,2434,12.45,88.7,2476.0,36.6,30,25.2
Bryan Hudson,663542,41,472,8.69,90.1,2237.0,17.8,16,15.0
Christian Scott,681035,253,333,75.98,94.4,2235.0,36.8,0,0.0
Clay Holmes,605280,118,1459,8.09,95.0,2182.0,30.6,33,165.2
David Peterson,656849,159,980,16.22,92.4,2120.0,29.3,30,168.2
Dedniel Núñez,673380,150,358,41.9,96.3,2478.0,45.9,10,9.2
Devin Williams,642207,216,1153,18.73,94.5,2329.0,1.3,67,62.0
Freddy Peralta,642547,449,1422,31.58,93.6,2415.0,27.8,33,176.2
Huascar Brazobán,623211,43,618,6.96,93.3,2283.0,0.0,52,63.0
Joey Gerber,680702,788,973,80.99,93.6,2316.0,20.8,2,4.1
Jonah Tong,804636,0,33,0.0,94.9,2256.0,14.2,5,18.2
Jonathan Pintaro,702752,0,98,0.0,92.3,2528.0,6.0,1,0.2
Justin Hagenman,663795,20,168,11.9,88.9,2276.0,16.1,9,23.2
Kodai Senga,673540,210,548,38.32,93.2,2381.0,14.3,22,113.1
Luis García,472610,261,2279,11.45,97.1,2130.0,30.1,58,55.1
Luke Weaver,596133,494,1696,29.13,93.5,2375.0,11.4,64,64.2
Nolan McLean,690997,0,46,0.0,94.5,2285.0,40.7,8,48.0
Reed Garrett,657585,112,1281,8.74,94.5,2356.0,16.8,58,55.1
Richard Lovelady,663992,189,1273,14.85,92.2,2305.0,39.2,10,11.2
Sean Manaea,640455,322,1802,17.87,91.8,2001.0,18.0,15,60.2
Tobias Myers,668964,23,344,6.69,91.6,2228.0,21.8,22,50.2
Tylor Megill,656731,278,832,33.41,94.8,2177.0,24.8,14,68.1
