player,mlb_id,il_days_apr_sep,active_days_apr_sep,pct_injured_apr_sep_%,fb_velo,fb_spin,breaking_%,games_2025,innings_2025
Angel Chivilli,683409,7,303,2.31,96.8,2290.0,18.5,43,58.2
Brent Headrick,687396,264,531,49.72,92.8,2350.0,31.0,17,23.0
Cam Schlittler,693645,0,84,0.0,96.3,2409.0,20.3,14,73.0
Camilo Doval,666808,0,898,0.0,98.6,2479.0,43.5,69,65.1
Carlos Rodón,607074,511,1993,25.64,94.3,2278.0,30.4,33,195.1
Clarke Schmidt,657376,204,942,21.66,93.0,2623.0,45.6,14,78.2
David Bednar,670280,81,1128,7.18,96.7,2381.0,26.2,64,62.2
Fernando Cruz,518585,102,578,17.65,91.9,2312.0,4.1,49,48.0
Gerrit Cole,543037,401,2308,17.37,96.5,2357.0,33.5,0,0.0
Jake Bird,656234,43,656,6.55,94.0,2102.0,37.3,48,55.1
Kervin Castro,665645,460,756,60.85,93.4,2319.0,21.9,0,0.0
Luis Gil,661563,451,791,57.02,96.2,2449.0,27.5,11,57.0
Max Fried,608331,364,1518,23.98,93.7,2136.0,36.7,32,195.1
Osvaldo Bido,674370,204,475,42.95,93.6,2340.0,27.2,26,79.2
Paul Blackburn,621112,880,1556,56.56,90.3,2191.0,22.9,15,39.0
Ryan Weathers,677960,247,915,26.99,95.1,2208.0,23.4,8,38.1
Ryan Yarbrough,642232,172,1464,11.75,85.5,2020.0,17.9,19,64.0
Tim Hill,657612,63,1464,4.3,89.9,2130.0,10.4,70,67.0
Will Warren,701542,0,246,0.0,93.2,2513.0,26.2,33,162.1
Yerry De los Santos,660787,220,678,32.45,95.0,2164.0,20.7,25,35.2
