player,mlb_id,il_days_apr_sep,active_days_apr_sep,pct_injured_apr_sep_%,fb_velo,fb_spin,breaking_%,games_2025,innings_2025
Aaron Nola,605400,190,1902,9.99,91.8,2185.0,29.5,17,94.1
Alan Rangel,660604,0,117,0.0,93.3,2271.0,19.6,5,11.0
Brad Keller,641745,183,1464,12.5,94.0,2264.0,32.5,68,69.2
Chase Shugart,663767,34,230,14.78,93.0,2229.0,26.9,35,45.0
Cristopher Sánchez,650911,21,849,2.47,94.2,2096.0,17.3,32,202.0
Jesús Luzardo,666200,225,1118,20.13,96.1,2247.0,30.4,32,183.2
Jhoan Duran,661395,29,725,4.0,99.5,1957.0,28.4,72,70.0
Jonathan Bowlan,680742,0,370,0.0,95.7,2268.0,36.2,34,44.1
José Alvarado,621237,329,1615,20.37,96.9,2124.0,5.8,28,26.0
Kyle Backhus,679775,0,115,0.0,90.9,2243.0,28.0,32,25.1
Max Lazar,676661,0,235,0.0,92.8,2418.0,25.7,36,41.1
Nolan Hoffman,676510,0,44,0.0,92.6,2387.0,22.0,1,1.0
Orion Kerkering,689147,13,373,3.49,97.1,2337.0,52.6,69,60.0
Seth Johnson,686751,0,206,0.0,96.9,2333.0,39.2,10,12.2
Taijuan Walker,592836,1079,2228,48.43,92.6,2132.0,17.0,34,123.2
Tanner Banks,621383,0,723,0.0,92.7,2210.0,45.7,69,67.1
Zach Pop,647315,166,913,18.18,95.7,2168.0,25.1,5,6.2
Zack Wheeler,554430,1225,2301,53.24,94.8,2373.0,15.8,24,149.2
