player,mlb_id,il_days_apr_sep,active_days_apr_sep,pct_injured_apr_sep_%,fb_velo,fb_spin,breaking_%
Braxton Ashcraft,677952,0,128,0.0,96.7,2395.0,50.6
Bubba Chandler,696149,0,40,0.0,98.6,2417.0,24.9
Cam Sanders,676742,0,57,0.0,95.7,2488.0,19.0
Carmen Mlodzinski,669387,168,473,35.52,95.3,2207.0,31.8
Dennis Santana,642701,195,1403,13.9,94.6,2464.0,34.5
Evan Sisk,681895,0,169,0.0,90.1,2094.0,30.8
Gregory Soto,642397,12,1241,0.97,97.4,2350.0,31.8
Hunter Barco,682995,0,8,0.0,93.9,2251.0,19.4
Isaac Mattson,676755,37,879,4.21,93.8,2354.0,12.5
Jared Jones,683003,237,366,64.75,97.3,2525.0,42.9
José Urquidy,664353,577,1189,48.53,93.0,2237.0,26.7
Justin Lawrence,664875,162,887,18.26,95.4,2333.0,42.2
Mason Montgomery,682254,0,209,0.0,98.0,2290.0,29.4
Mitch Keller,656605,45,1225,3.67,93.3,2407.0,29.5
Paul Skenes,694973,0,326,0.0,98.3,2254.0,25.4
Thomas Harrington,802419,51,183,27.87,91.4,2142.0,21.5
Yohan Ramírez,670990,7,984,0.71,95.3,2260.0,37.1
