player,mlb_id,il_days_apr_sep,active_days_apr_sep,pct_injured_apr_sep_%,fb_velo,fb_spin,breaking_%,games_2025,innings_2025
Adrian Morejon,670970,616,1170,52.65,97.0,2437.0,26.1,75,73.2
Alek Jacob,689690,71,444,15.99,85.6,2313.0,13.0,29,33.1
Bradgley Rodriguez,699134,44,123,35.77,96.6,2320.0,0.3,7,7.2
Bryan Hoeing,663773,214,591,36.21,93.9,1995.0,25.3,7,8.0
David Morgan,688158,12,128,9.38,97.4,2318.0,41.0,41,47.1
Germán Márquez,608566,316,1670,18.92,95.0,2161.0,39.1,26,126.1
Griffin Canning,656288,428,1252,34.19,93.4,2216.0,35.9,16,76.1
JP Sears,676664,0,720,0.0,92.3,2074.0,32.5,27,135.2
Jason Adam,592094,245,1361,18.0,94.5,2621.0,33.1,65,65.1
Jeremiah Estrada,669093,0,562,0.0,97.2,2218.0,20.2,77,73.0
Jhony Brito,666745,213,548,38.87,96.0,2124.0,18.5,0,0.0
Joe Musgrove,605397,474,1707,27.77,92.0,2479.0,37.9,0,0.0
Kyle Hart,606996,281,963,29.18,90.9,2132.0,38.5,20,43.0
Mason Miller,695243,131,531,24.67,100.1,2485.0,34.8,60,61.2
Matt Waldron,663362,61,465,13.12,89.9,2060.0,17.0,1,4.2
Michael King,650633,236,1102,21.42,93.6,2314.0,22.8,15,73.1
Nick Pivetta,601713,37,1618,2.29,93.6,2303.0,37.7,31,181.2
Randy Vásquez,681190,5,494,1.01,92.6,2436.0,26.5,28,133.2
Ron Marinaccio,676760,21,719,2.92,93.8,2266.0,14.3,7,10.2
Ty Adcock,686654,105,477,22.01,95.8,2154.0,37.6,3,3.0
Walker Buehler,621111,466,1488,31.32,94.8,2424.0,27.8,26,126.0
Wandy Peralta,593974,176,1674,10.51,95.5,2151.0,18.6,71,71.2
Yuki Matsui,673513,0,366,0.0,92.1,2427.0,29.5,61,63.1
