player,mlb_id,il_days_apr_sep,active_days_apr_sep,pct_injured_apr_sep_%,fb_velo,fb_spin,breaking_%,games_2025,innings_2025
Adrian Houser,605288,760,1835,41.42,93.7,2128.0,24.0,21,125.0
Blade Tidwell,694918,27,150,18.0,95.3,2203.0,37.4,4,15.0
Carson Seymour,693313,0,94,0.0,95.7,2267.0,20.8,16,36.0
Carson Whisenhunt,687931,29,65,44.62,93.4,2297.0,16.2,5,23.1
Erik Miller,669062,88,366,24.04,96.9,2284.0,16.4,36,30.0
Hayden Birdsong,806185,0,280,0.0,95.7,2345.0,35.8,21,65.2
JT Brubaker,664141,494,982,50.31,93.2,2255.0,44.1,17,28.2
Jason Foley,671345,162,849,19.08,96.7,2048.0,24.6,0,0.0
Joel Peguero,666711,0,41,0.0,99.8,2293.0,27.2,17,22.1
José Buttó,676130,19,590,3.22,94.3,2325.0,27.3,55,67.0
Keaton Winn,676775,241,476,50.63,95.6,2284.0,7.9,7,10.0
Landen Roupp,694738,304,366,83.06,93.0,2116.0,37.2,22,106.2
Logan Webb,657277,307,1143,26.86,92.4,1978.0,24.0,34,207.0
Matt Gage,657424,32,666,4.8,93.0,2128.0,47.1,33,31.0
Randy Rodríguez,678495,79,333,23.72,97.4,2585.0,38.3,50,50.2
Reiver Sanmartin,665665,260,736,35.33,90.4,2221.0,22.5,1,1.2
Robbie Ray,592662,417,2161,19.3,93.9,2285.0,34.9,32,182.1
Rowan Wick,592858,115,1312,8.77,94.6,2294.0,25.8,0,0.0
Ryan Walker,676254,0,499,0.0,95.4,2296.0,42.0,68,61.1
Sam Hentges,656529,333,896,37.17,95.1,2159.0,44.2,0,0.0
Spencer Bivens,702352,0,290,0.0,93.5,1966.0,16.0,54,81.0
Trevor McDonald,686790,0,185,0.0,93.2,2266.0,37.7,3,15.0
Tristan Beck,663941,153,530,28.87,94.5,2112.0,59.2,31,56.2
Tyler Mahle,641816,950,1499,63.38,92.4,2275.0,20.1,16,86.2
