player,mlb_id,il_days_apr_sep,active_days_apr_sep,pct_injured_apr_sep_%,fb_velo,fb_spin,breaking_%,games_2025,innings_2025
Andrés Muñoz,662253,264,433,60.97,98.9,2221.0,49.6,64,62.1
Blas Castaño,680604,0,126,0.0,91.8,2229.0,21.2,1,3.0
Bryan Woo,693433,70,486,14.4,95.2,2255.0,20.8,30,186.2
Bryce Miller,682243,103,518,19.88,95.0,2510.0,23.2,18,90.1
Carlos Vargas,672841,19,549,3.46,97.0,2201.0,14.9,70,77.0
Casey Legumina,668984,75,533,14.07,94.1,2371.0,19.4,48,49.2
Cole Wilcox,677961,0,12,0.0,96.9,2039.0,36.7,1,1.0
Cooper Criswell,681867,209,767,27.25,88.0,2117.0,25.5,7,17.2
Eduard Bazardo,660825,79,902,8.76,94.9,2164.0,40.6,73,78.2
Emerson Hancock,676106,41,419,9.79,93.9,2364.0,15.4,22,90.0
Gabe Speier,642100,66,1124,5.87,94.2,2140.0,29.2,76,62.0
George Kirby,669923,51,695,7.34,95.6,2226.0,30.8,23,126.0
Jose A. Ferrer,678606,0,458,0.0,97.1,2116.0,6.0,72,76.1
Josh Simpson,681006,0,102,0.0,93.9,2284.0,50.1,31,30.2
Logan Evans,688138,43,156,27.56,90.7,2284.0,32.9,16,81.1
Logan Gilbert,669302,51,873,5.84,95.6,2109.0,38.3,25,131.0
Luis Castillo,622491,56,1564,3.58,96.2,2188.0,18.7,32,180.2
Matt Brash,666374,215,721,29.82,97.1,2271.0,59.9,53,47.1
Ryan Loutos,702795,0,305,0.0,95.2,1868.0,36.3,12,12.0
Troy Taylor,700187,13,234,5.56,96.7,2377.0,39.5,8,6.2
Yosver Zulueta,691172,0,281,0.0,96.1,2096.0,33.1,7,7.1
