player,mlb_id,il_days_apr_sep,active_days_apr_sep,pct_injured_apr_sep_%,fb_velo,fb_spin,breaking_%,games_2025,innings_2025
Andre Pallante,669467,0,723,0.0,94.9,2229.0,35.5,31,162.2
Chris Roycroft,688297,0,330,0.0,94.5,2179.0,10.3,20,20.2
Dustin May,669160,639,1158,55.18,95.4,2432.0,24.8,25,132.1
George Soriano,666277,0,534,0.0,94.8,2155.0,35.4,24,36.2
Gordon Graceffo,700669,0,277,0.0,95.2,2046.0,47.8,26,43.0
Hunter Dobbins,690928,19,178,10.67,95.5,2367.0,46.1,13,61.0
JoJo Romero,668941,286,956,29.92,94.2,2166.0,28.6,65,61.0
Justin Bruihl,677865,24,786,3.05,88.1,2250.0,28.3,15,13.2
Kyle Leahy,681517,0,452,0.0,95.2,2295.0,47.0,62,88.0
Matt Svanson,694335,0,167,0.0,95.4,2246.0,33.7,39,60.1
Matthew Liberatore,669461,13,682,1.91,93.7,2166.0,34.2,29,151.2
Michael McGreevy,700241,0,245,0.0,91.6,2221.0,30.3,17,95.2
Nick Raquet,675919,0,23,0.0,91.3,2121.0,50.7,2,2.0
Richard Fitts,690916,78,206,37.86,95.5,2408.0,43.5,11,45.0
Riley O'Brien,676617,158,735,21.5,97.3,2177.0,44.5,42,48.0
Ryan Fernandez,681676,0,364,0.0,94.3,2201.0,44.2,32,30.1
Ryne Stanek,592773,64,1604,3.99,97.9,2330.0,21.4,65,56.0
