player,mlb_id,il_days_apr_sep,active_days_apr_sep,pct_injured_apr_sep_%,fb_velo,fb_spin,breaking_%,games_2025,innings_2025
Bryan Baker,641329,0,755,0.0,96.2,2310.0,26.1,73,68.2
Cam Booser,592155,51,348,14.66,92.4,2083.0,25.4,39,31.0
Cole Sulser,642121,176,1123,15.67,92.3,2315.0,11.6,18,22.2
Drew Rasmussen,656876,287,958,29.96,94.0,2518.0,19.9,31,150.0
Edwin Uceta,670955,153,886,17.27,92.8,2417.0,6.7,70,76.0
Garrett Cleavinger,664076,230,929,24.76,95.1,2378.0,41.0,67,61.1
Griffin Jax,643377,0,847,0.0,95.3,2399.0,45.9,73,66.0
Hunter Bigge,685801,148,267,55.43,97.4,2367.0,38.3,13,15.0
Ian Seymour,693855,0,114,0.0,90.2,2171.0,9.9,19,57.0
Jesse Scholtens,669947,362,543,66.67,93.0,2077.0,49.7,2,8.1
Joe Boyle,671212,30,380,7.89,98.1,2534.0,33.2,13,52.0
Joe Rock,697812,0,95,0.0,93.1,2291.0,23.0,3,7.2
Kevin Kelly,687330,64,549,11.66,90.3,2183.0,29.4,41,39.2
Manuel Rodríguez,655889,182,795,22.89,96.7,2196.0,38.0,31,30.1
Mason Englert,669438,116,549,21.13,91.3,2225.0,25.6,29,44.2
Nick Martinez,607259,204,2192,9.31,91.4,2322.0,20.1,40,165.2
Ryan Pepiot,686752,163,692,23.55,94.5,2398.0,19.3,31,167.2
Shane McClanahan,663556,465,915,50.82,96.6,2240.0,39.1,0,0.0
Steven Matz,571927,481,1925,24.99,94.0,2141.0,22.6,53,76.2
Steven Wilson,621051,134,724,18.51,94.2,2420.0,49.5,59,55.1
Yoendrys Gómez,672782,0,369,0.0,93.4,2427.0,34.4,21,62.2
