player,mlb_id,il_days_apr_sep,active_days_apr_sep,pct_injured_apr_sep_%,fb_velo,fb_spin,breaking_%,games_2025,innings_2025
Chris Martin,455119,252,2171,11.61,93.8,2195.0,10.0,49,42.1
Cody Bradford,674003,289,505,57.23,89.8,2100.0,12.2,0,0.0
Cole Winn,668390,115,353,32.58,94.5,2395.0,19.3,33,41.2
Jack Leiter,683004,27,349,7.74,96.9,2398.0,32.4,29,151.2
Jacob Latz,656641,128,769,16.64,94.4,2278.0,25.8,33,85.2
Jacob deGrom,594798,551,2152,25.6,96.3,2365.0,32.7,30,172.2
Jakob Junis,596001,364,1636,22.25,91.4,2074.0,43.7,57,66.2
Jalen Beeks,656222,316,1397,22.62,92.2,2108.0,7.3,61,57.1
Jordan Montgomery,656756,537,1636,32.82,92.2,2233.0,26.8,0,0.0
Jose Corniell,692030,0,3,0.0,94.5,2097.0,3.3,1,1.2
Kumar Rocker,677958,41,202,20.3,94.3,2169.0,27.2,14,64.1
Luis Curvelo,681168,0,62,0.0,95.8,2356.0,39.3,17,19.0
MacKenzie Gore,669022,101,718,14.07,94.9,2253.0,29.5,30,159.2
Marc Church,687847,135,186,72.58,96.5,2119.0,32.2,5,4.2
Michel Otañez,671305,110,296,37.16,97.6,2357.0,35.7,6,5.1
Nathan Eovaldi,543135,668,2618,25.52,95.2,2216.0,22.6,22,130.0
Robert Garcia,676395,14,445,3.15,94.3,2230.0,21.3,71,64.0
Tyler Alexander,641302,132,1188,11.11,88.6,2259.0,16.9,52,97.2
