player,mlb_id,il_days_apr_sep,active_days_apr_sep,pct_injured_apr_sep_%,fb_velo,fb_spin,breaking_%,games_2025,innings_2025
Andre Granillo,701552,0,111,0.0,94.4,2263.0,58.7,14,21.0
Andrew Alvarez,674841,0,30,0.0,91.4,2326.0,57.3,5,23.1
Brad Lord,695418,0,183,0.0,94.6,2302.0,19.6,48,130.2
Cade Cavalli,676917,437,585,74.7,96.5,2301.0,30.4,10,48.2
Clayton Beeter,690925,210,366,57.38,95.7,2383.0,42.6,26,25.1
Cole Henry,669371,15,171,8.77,94.0,2499.0,29.8,57,52.2
DJ Herz,687792,183,302,60.6,93.5,2325.0,18.4,0,0.0
Foster Griffin,656492,390,981,39.76,90.0,2176.0,11.4,0,0.0
Gus Varland,681402,240,549,43.72,95.4,2316.0,34.1,0,0.0
Jackson Rutledge,671131,0,384,0.0,94.3,2290.0,23.6,63,73.1
Jake Eder,671109,57,197,28.93,93.4,2002.0,36.2,8,18.1
Jake Irvin,663623,9,517,1.74,93.0,2338.0,31.4,33,180.0
Josiah Gray,680686,358,805,44.47,93.1,2162.0,46.2,0,0.0
Julian Fernández,642759,0,758,0.0,97.1,2378.0,0.0,4,5.0
Ken Waldichuk,686610,109,579,18.83,93.4,2310.0,27.9,0,0.0
Miles Mikolas,571945,319,2528,12.62,93.2,2241.0,43.3,31,156.1
Mitchell Parker,680730,0,352,0.0,92.7,2176.0,32.7,33,164.2
Orlando Ribalta,687377,101,232,43.53,96.2,2586.0,21.0,22,24.1
PJ Poulin,676571,0,57,0.0,90.6,2167.0,25.0,28,24.2
Paxton Schultz,687606,30,164,18.29,91.5,2242.0,13.1,13,24.2
Trevor Williams,592866,274,1671,16.4,90.5,2116.0,22.6,17,82.2
Zack Littell,641793,353,1399,25.23,93.0,2049.0,35.7,32,186.2
